	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
95	Agastache cusickii		ID, NV, OR	lamiaceae		Flowering Plants	Not Listed	P
96	Agastache parvifolia	Small-leaved agastache	CA	lamiaceae		Flowering Plants	Not Listed	P
97	agathon arizonicus			blephariceridae		Insects	Not Listed	I
98	Agave arizonica	Arizona agave	AZ	agavaceae	1984.0	Flowering Plants		P
99	Agave eggersiana		VI	agavaceae	2014.0	Flowering Plants	Endangered	P
100	Agave glomeruliflora	Chisos agave	TX	agavaceae		Flowering Plants	Not Listed	P
101	Agave mckelveyana		AZ	agavaceae		Flowering Plants	Not Listed	P
102	Agave murpheyi		AZ	agavaceae		Flowering Plants	Not Listed	P
103	Agave parviflora parviflora	Santa Cruz striped agave	AZ	agavaceae		Flowering Plants	Not Listed	P
104	Agave schottii treleasei		AZ	agavaceae		Flowering Plants	Not Listed	P
105	Agave shawii	Shaw's agave	CA	agavaceae		Flowering Plants	Not Listed	P
106	Agave sp.	Sp. nov. ined. (Tonto Basin) agave	AZ	agavaceae		Flowering Plants	Not Listed	P
107	Agave toumeyana bella		AZ	agavaceae		Flowering Plants	Not Listed	P
108	Agave utahensis eborispina	Ivory-spined agave	CA, NV	agavaceae		Flowering Plants	Not Listed	P
109	Agave utahensis kaibabensis		AZ	agavaceae		Flowering Plants	Not Listed	P
110	Agave utahensis nevadensis	Clark Mountains agave	CA, NV	agavaceae		Flowering Plants	Not Listed	P
111	Agelaius tricolor	Tricolored blackbird	CA, NV, OR	icteridae		Birds	Not Listed	V
112	Agelaius xanthomus	Yellow-shouldered blackbird	PR	icteridae	1976.0	Birds	Endangered	V
113	Ageratina luciae-brauniae		KY, TN	asteraceae		Flowering Plants	Not Listed	P
114	Ageratina shastensis	Shasta eupatorium	CA	asteraceae		Flowering Plants	Not Listed	P
115	Agonum belleri	Beller's ground beetle	OR, WA	carabidae		Insects	Not Listed	I
116	Agosia chrysogaster	Longfin dace	AZ, NM	cyprinidae		Fishes	Not Listed	V
117	Agrilus harenus	Algodones croton jewel beetle		buprestidae		Insects	Not Listed	I
118	Agrimonia incisa	Incised groovebur	AL, FL, GA, MS, SC, TX	rosaceae		Flowering Plants	Not Listed	P
119	Agrostis blasdalei blasdalei	Blasdale's bentgrass	CA	poaceae		Flowering Plants	Not Listed	P
120	Agrostis blasdalei marinensis	Marin bentgrass	CA	poaceae		Flowering Plants	Not Listed	P
121	Agrostis clivicola clivicola	Coastal bluff bentgrass	CA	poaceae		Flowering Plants	Not Listed	P
122	Agrostis clivicola punta-reyesensis	Point Reyes bentgrass	CA	poaceae		Flowering Plants	Not Listed	P
123	Agrostis hendersonii	Henderson's bentgrass	CA, OR	poaceae		Flowering Plants	Not Listed	P
124	Agrostis howellii	Howell's bentgrass	OR	poaceae		Flowering Plants	Not Listed	P
